[2023-07-02 22:37:40,694] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-02 22:37:40,695] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-02 22:37:44,490] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 80
[2023-07-02 22:38:15,792] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-02 22:38:19,234] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 1660
[2023-07-02 22:38:19,235] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 1660
[2023-07-02 22:38:19,242] INFO in tasks: Celery post urls - []
[2023-07-02 22:38:19,252] INFO in tasks: Celery post urls - []
[2023-07-02 22:38:46,675] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-02 22:38:50,721] INFO in app: path: /web/new_link | method: POST | status: 200 OK | size: 22
[2023-07-02 22:38:51,937] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-03 09:26:29,645] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 743
[2023-07-03 09:27:09,707] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 743
[2023-07-03 09:28:03,230] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 681
[2023-07-03 09:35:18,118] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1698
[2023-07-03 09:35:27,556] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-03 09:35:48,819] INFO in app: path: /web/upload_image | method: GET | status: 200 OK | size: 398
[2023-07-03 09:36:07,544] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 194
[2023-07-03 09:36:23,889] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 194
[2023-07-03 09:36:27,147] INFO in app: path: /web/nav | method: GET | status: 200 OK | size: 1698
[2023-07-03 09:36:33,118] INFO in app: path: /web/new_link | method: GET | status: 200 OK | size: 508
[2023-07-03 09:36:36,705] INFO in app: path: /web/new_link | method: POST | status: 302 FOUND | size: 197
[2023-07-03 09:36:36,714] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 301
[2023-07-03 09:36:38,259] INFO in app: path: /web/8bc18bad-e8be-49b5-924f-c5df1ce76010 | method: GET | status: 200 OK | size: 204
[2023-07-03 09:36:42,229] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 301
[2023-07-03 09:36:53,619] INFO in app: path: /web/8bc18bad-e8be-49b5-924f-c5df1ce76010 | method: GET | status: 200 OK | size: 204
[2023-07-03 09:36:54,660] INFO in app: path: /web/ | method: GET | status: 200 OK | size: 301
